id,year,period,value,footnotes
LNS14000000,2021,M01,6.4,
LNS14000000,2021,M02,6.2,
LNS14000000,2021,M03,6.1,
LNS14000000,2021,M04,6.1,
LNS14000000,2021,M05,5.8,
LNS14000000,2021,M06,5.9,
LNS14000000,2021,M07,5.4,
LNS14000000,2021,M08,5.1,
LNS14000000,2021,M09,4.7,
LNS14000000,2021,M10,4.5,
LNS14000000,2021,M11,4.2,
LNS14000000,2021,M12,3.9,
LNS14000000,2022,M01,4.0,
LNS14000000,2022,M02,3.8,
LNS14000000,2022,M03,3.7,
LNS14000000,2022,M04,3.7,
LNS14000000,2022,M05,3.6,
LNS14000000,2022,M06,3.6,
LNS14000000,2022,M07,3.5,
LNS14000000,2022,M08,3.6,
LNS14000000,2022,M09,3.5,
LNS14000000,2022,M10,3.6,
LNS14000000,2022,M11,3.6,
LNS14000000,2022,M12,3.5,
LNS14000000,2023,M01,3.5,
LNS14000000,2023,M02,3.6,
LNS14000000,2023,M03,3.5,
LNS14000000,2023,M04,3.4,
LNS14000000,2023,M05,3.6,
LNS14000000,2023,M06,3.6,
LNS14000000,2023,M07,3.5,
LNS14000000,2023,M08,3.7,
LNS14000000,2023,M09,3.8,
LNS14000000,2023,M10,3.9,
LNS14000000,2023,M11,3.7,
LNS14000000,2023,M12,3.8,
LNS14000000,2024,M01,3.7,
LNS14000000,2024,M02,3.9,
LNS14000000,2024,M03,3.9,
LNS14000000,2024,M04,3.9,
LNS14000000,2024,M05,4.0,
LNS14000000,2024,M06,4.1,
LNS14000000,2024,M07,4.2,
LNS14000000,2024,M08,4.2,
LNS14000000,2024,M09,4.1,
LNS14000000,2024,M10,4.1,
LNS14000000,2024,M11,4.2,
LNS14000000,2024,M12,4.1,
LNS14000000,2025,M01,4.0,
LNS14000000,2025,M02,4.1,
LNS14000000,2025,M03,4.2,
LNS14000000,2025,M04,4.2,
LNS14000000,2025,M05,4.2,
LNS14000000,2025,M06,4.1,
LNS14000000,2025,M07,4.2,
LNS14000000,2025,M08,4.3,
LNS14000000,2025,M09,4.4,
LNS14000000,2025,M11,4.6,
